WarNum,deaths,WDuratDays,OutcomeD,Americas,WarTypeD,side,Init
515,600,115,Side B,Not in Americas,Civil War: Local Issues,B,0
516,500,91,Side B,Not in Americas,Other,B,0
517,20000,252,Side A,Not in Americas,Civil War: Local Issues,B,0
518,6000,447,Other,Not in Americas,Civil War: Local Issues,B,1
520,1000,352,Side B,Americas,Civil War: Central Control,B,1
520.3,-9,1125,Side A,Americas,Civil War: Central Control,B,0
520.5,8100,678,Side B,Not in Americas,Civil War: Central Control,B,1
521,2000,87,Side A,Not in Americas,Other,B,0
522,60000,2123,Side A,Not in Americas,Civil War: Central Control,B,1
523,-9,68,Other,Not in Americas,Civil War: Local Issues,B,1
